생산자,설명
마운트 플레젠트Mount Pleasant,
마담 뵈브 포인트Madame Veuve Point,마담 뵈브 포인트(Madame Veuve Point)는 1904년 미국에서 열린 Saint Louis World 페어에서 최우수상을 수상하며 세계의 이목을 집중시킨 부르고뉴의 여성 와인 메이커 Jeanne-Maries Point의 작품입니다.
오로르 바슐래Aurore Bachelet,
브라운 패밀리 와인그룹Brown Family Wine Group,"브라운 패밀리 와인 그룹(Brown Family Wine Group)은 1889년부터 와인을 양조해온 호주의 대표적인 가족 소유 와인 회사입니다. 우리 가족은 4대에 걸쳐 사업에 참여하고 있으며, 지역 밀와(Milawa)에 대한 자부심을 가지고 있습니다."
귄체트Guinchette,
샤또 레 옴므 드 페즈Chateau Les Ormes de Pez,"샤또 레 옴므 드 페즈(Chateau Les Ormes de Pez)는 보르도 생테스테프에 위치하고 있으며, 프랑스어로 'Pez'는 마을을, 'Les Ormes'는 느릅나무를 의미하며 와인 라벨의 나무 이미지는 샤또 부근에 있는 나무를 형상화한 것이다."
닐슨Nielson,
샤또 비앙카Chateau Bianca,
에드나 밸리Edna Valley,
비비에Vivier,"비비에(Vivier)는 와인메이커 스테판 비비에(Stephane Vivier)의 브랜드로, 2009년 피노 누아를 생산하기 시작, 이후 2018년에는 샤르도네를 생산하게 되었습니다. 그는 최고의 와인을 만드는 비결은 '참을성' 을 갖추는 것이라고 말합니다. 그 말인 즉슨, 땅이 말을 할 때까지 기다린다는 것이며 포도를 더 유연하게 다룬다는 것입니다."
영 어덜트Young Adult,
프로비넌스 빈야드Provenance Vineyards,
베쎌 하이츠Bethel Heights,
마돈나 네라Madonna Nera,마돈나 네라(Madonna Nera)는 ''끝없이 펼쳐진 포도원'이라는 의미로 몬탈치노 지역 북쪽에 위치한 부띠끄 와이너리입니다.
캘리 폭스Kelley Fox,
세퀴투르Sequitur,"세퀴투르(Sequitur)는 Beaux Freres의 오너 Mike Etzel이 새롭게 시작한 와이너리로, Beaux Freres의 최상급 와인인 Upper Terrace를 양조하기 위한 포도밭과 바로 이웃한 포도밭에서 수확한 피노 누아와 샤르도네 와인을 양조합니다."
스톨러 패밀리 에스테이트Stoller Family Estate,"스톨러 페밀리 에스테이트(Stoller Family Estate)는 오리건에서 가장 주목할만한 포도원들과 양조장들 중 하나이다. 오리건의 선구자이자 설립가인 빌 스톨러는 토지와 오리건의 와인 산업이 오래갈 수 있는 유산이라는 미래 투시력을 가지고, 1993년에 그의 가족의 차세대 농장을 구매했다."
몬텔비니Montelvini [B2B],"MONTELVINI People, Land, Sustainability and Respect for Earth. This is the soul of the Montelvini group, one of the most dynamic wineries in Italy, based in Venegazzù (TV), in the heart of one of the most famous wine regions in the world, situated in the area of the exclusive Asolo DOCG and between those of the celebrated Valdobbiadene DOCG and renowned Treviso DOC."
콜레프리지오Collefrisio [B2B],Third generation winemakers Amedeo De Luca and Antonio Patricelli joined forces in 2004 to fulfill a passion for the land and the vines of their predecessors. They acquired an existing hilltop estate once owned by the Frisio family – hence Collefrisio – and created a winery that embraces modernity and experimentation while also honoring the long tradition of winemaking in the
로에노Roeno [B2B],"A unique identity, handed down through generations of the Fugatti Family. Nestled on the border between Veneto and Trentino, in the land known as “Terra dei Forti”, the winery is surrounded by mountain slopes that flank the Adige River. A land of (no) borders. The heart of Valdadige. Valdadige is a narrow valley formed by the movement of a glaciar from north to south. This creates a nice wind"
바로니 카포아노Baroni Capoano [B2B],"The estate extends for more then forty hectares between centuries-old olive trees and native vineyards. From this land D.O.C. wines and extra virgin olive oil have been produced for over two thousand years, giving fame and honor to Cirò production."
칸티나 데 프라Cantina de Pra [B2B],"Giuseppe De Pra founded De Pra winery in the 1959. Since the beginning, Bepi, the nickname of the founder, knew what he wants for the present and the future of his winery: growing vineyards and selecting the best grapes to realize a high quality and authentic wines, like the unspoiled landscape where the winery is located."
칸티네 세테솔리Cantine Settesoli [B2B],"Cantine Settesoli is a community, a vineyard and an authentic wine district in Sicily. Established by a group of winemakers from Menfi in 1958, Cantine Settesoli was not only a cooperative where growers brought their grapes, but an organization"
세쿨라Secula [B2B],"Located in the lands of Sorbara, SECULA is a winery founded on unexpected connections and fortunate coincidences. In 2018, Dino Lugli, asked his friend and schoolmate, the oenologist and researcher Gabriele Valentini, to help him convert his family's fruit farm into a winery. Gabriele, with his heart already occupied by Loreto Aprutino,"
자코 와인Jako Wine [B2B],"Jako wine was born in 2010 from an idea of Gianluca Berti, the current CEO, and Michele Ceradini, supported by the irreplaceable Brand Ambassador Severino Barzan, ex-owner of Bottega del Vino in Verona and New York. The initial objective was to produce good wine to share with friends and customers."
프라 델라 루나Pra della Luna [B2B],"Born in 2015, Pra' della Luna is the last achievement of a project started in the end of the '90s by a group of friends reunited together by the president Ferruccio Lunardelli. After dedicating himself to giving prestige to his territory with his knowledge in agri- cultural field, Ferruccio Lunardelli decided to include in his vision, his wife Raffaella, and some o"
칸티나 디 토르토나Cantina di Tortona [B2B],"The winery was established in 1931, by a group of thirty-eight winegrowers, owners of medium and large-sized wineries. Their aim was to stop the migration from the countryside and to promote winegrowing as a noble and profitable activity."
테누타 카레타Tenuta Carretta [B2B],"The Carretta name was once believed to derive from celtic “car”, which means “stone”, referring to the banks of chalk that still today are near to the entrance of the estate. Located in the center of a triangular parcel of land formed by three ancient Roman roads this estate started its history in 1467 and in 1985 was sold by Counts of Roero to the actual family: Miroglio."
본테라 오가닉 에스테이트Bonterra Organic Estate,본테라 오가닉 에스테이트(Bonterra Organic Estate)는 지속 가능한 농법을 위해 많은 노력을 기울이고 있다.
스톤베이Stone Bay,"뉴질랜드 말보로는 토사, 돌 및 자갈 토양과 포도 재배를 위한 독특한 환경으로 조성되어 있습니다. 이런 뉴질랜드의 모든 아름다움을 그대로 반영하여 '스톤 베이' 라는 이름으로 담아냈으며, 와인 한 병에 말보로를 느낄 수 있도록 노력하였습니다."
훅 올 크룩 셀러즈Hook Or Crook Cellars,
랑데뷰Rendez-Vous,"랑데뷰(Rendez-Vous)는 남부 프랑스의 떼루아를 완벽히 담은 와이너리입니다. 랑그독루시옹의 Pays d'Oc 아펠라시옹 포도원을 둘러싸고 있는 피레네 산맥과 세벤느 북부 산맥, 완벽한 포도 숙성을 위한 덥고 건조한 여름을 만드는 남쪽의 지중해, 이 두 개의 지리적 특징은 떼루아의 잠재력을 최대한으로 이끌어 내고 있습니다."
요셉 마샥스Josep Masachs,까바 생산자의 선구자 중 한 명인 Josep Masachs Liorach 에 의해 1920년도에 설립된 요셉 마샥스는 다양한 토양과 아름다운 풍경으로 유명한 산 파우(Sant Pau Mountain) 산에 위치한 페네데스 지역의 대표 와이너리입니다.
틴테로Tintero,"Wine Folly에 선정된 마셔봐야 하는 모스카토 와이너리 중 하나로, 1930년대 이래 유기농으로 모스카토를 만드는 4대째 이어져오고 있는 와이너리입니다. 전통을 유지하면서 시대에 맞는 혁신과 함께 높은 퀄리티의 와인 생산을 모두 틴테로 와이너리에서 진행합니다."
에메 아르누Aime Arnoux,"에메 아르누(Aimé Arnoux)는 1717년부터 지속된 Arnoux 가족의 와이너리로서, 전통적 포도 재배와 와인 메이킹의 문화를 지켜오며 헤리티지를 이어오고 있습니다."
그레밀레Gremillet,"그레밀레(Gremillet)는 50여 개의 프랑스 영사관과 대사관에서 선택한 클래식함과 모던함을 동시에 가진 샴페인 하우스입니다. 레밀레의 모던한 로고와 패키징과 더불어 양질의 떼루아에서 나온 피노누아와 샤르도네를 블랜딩하여 만든 샴페인은 프랑스는 물론 영국, 미국의 소비자들에게 많은 사랑을 받고 있습니다."
더 패링The Paring,"더 패링은 호나타(Jonata), 더 힐트(The Hilt)와 같은 스크리밍 이글 소유의 와이너리로, 산타 바바라의 태양과 시원한 해풍이 만들어내는 아름다운 떼루아를 그대로 담고 있습니다. 더 패링 와인은 버몬트 대학교에서 토양 과학을 전공하고 나파의 Staglin, 뉴질랜드 혹스 베이의 Craggy Range 등에서 경험을 쌓은 Matt Dees가 양조합니다."
스톨프만Stolpman,스톨프만(Stolpman)은 캘리포니아 산타 바바라 카운티 지역 내 발라드캐년 지역에서 포도를 재배합니다. 특히 2013년 발라드캐년이 공식 AVA가 되는데 가장 큰 역할을 한 와이너리이기도 합니다. 이 와이너리의 와인메이커 사시 무어맨은 Decanter 2014 차세대 와인메이커 40인 에 선정되기도 하였습니다. 지구 온난화 중에도 지속 가능한 드라이 파밍 방법 도입을 고민하며 미래를 준비하고 있습니다.
에스알 토넬라 셀러즈S.R. Tonella Cellars,
스텔마Stelmar,
슐럼베르거Schlumberger,
로이머Loimer,
라 캄파뉴La Campagne,
셀렉션 코텔Selection Courtelles,
몽 발롱Monte Vallon,
도피오 파소Doppio Passo,"도피오 파소(Doppio Passo)는 까를로와 마리아 보터에 의해 1928년 설립되었고, 현재는 유럽에서 가장 많이 판매되는 이탈리아 와인으로 이름이 알려져 있다."
Brandini브란디니,"바롤로의 라이징 스타, 브란디니(Brandini)는 Organic Human Barolo를 모토로 위대한 바롤로의 전통에 기반하여 빼어나고 순수한 와인을 만들고 있다. 바롤로의 명산지 '라 모라 (La Morra)'에 위치하고 있다. 라 모라 언덕의 꼭대기에 위치한 포도원은 모래와 점토가 섞인 토양에 낮과 밤의 큰 일교차, 높은 고도로 인한 바람의 영향을 많이 받는다."
토라치아 디 프레수라Torraccia di Presura,
알베르 드 밀리Albert De Milly,
미쉘 코드로이Michel Coudroy,
드미에르Demiere,
실바노 피아첸티니Silvano Piacentini,
드마리Demarie,
도멘 샤르통Domaine Charton,
도멘 도미니크 갈루아Domaine Dominique Gallois,
안셀미Anselmi,"안셀미(Anselmi)는 베네토에서 최상급 가르가네가(Garganega) 생산자 중 하나로, 이탈리아에서도 가장 이름난 화이트 와인 생산자다. 또한 소아베 (Soave) 지역에서 가장 뛰어난 떼루아를 갖춘 포도원인 카피텔 포스카리노(Capitel Foscarino)와 카피텔 크로체(Capitel Croce)에서 크뤼 와인을 만들어낸다. 하지만 이 와인들은 소아베 DOC를 달고 나오지 않는다. 한마디로 수퍼 소아베 와인이다."
델라포스Delaforce,"델라포스(Delaforce)는 1868년에 설립된 후, 뛰어난 블렌딩과 숙성 기술로 명성을 쌓아왔으며, 이는 델라포스의 유명한 포트 와인으로 잘 표현된다. 오늘날 델라포스는 독립적인 가족 그룹인 레알 콤파니아 벨라(Real Companhia Velha)가 운영하고 있으며, 소유주인 실바 레이즈 가족(Silva Reis)은 포트와 도우로 와인의 생산과 지속적인 개선에 전념하고 있다."
퓨이 와인즈Fuy Wines,퓨이(Fuy)는 양조학자인 크리스티안 고이치(Cristian Goich)에 의해 창립되었다. 유명인들의 평가와 점수에 연연하지 않는 자유로운 와인을 생산하고자 2018년 퓨이 와인스 프로젝트를 시작했다.
알타 모라Alta Mora,
스피넬리Spinelli,
프란시스 포드 코폴라Francis Ford Coppola,
Ochota Barrels오코타 배럴스,오코타 배럴(Ochota Barrels) 이야기는 2000년 말 Taras와 Amber Ochota가 폭스바겐 캠핑카를 타고 멕시코 서부 해안을 따라 서핑 여행을 떠나면서 시작되었습니다. 세계적으로 놀라운 와인 및 서핑 지역 몇곳을 여행한 후 Taras와 Amber Ochota의 최종 목적지는 고향인 남호주에서 아름답고 훌륭한 와인을 만들기 위한 아이디어 구상이었습니다.
"샤또 다르쉬Chateau d'Arche, 2nd Cru Classe - Sauternes",
460 카시나 브릭460 Casina Bric,
포지오 그라페타Poggio Graffetta,그라페타(Poggio Graffetta)는 이태리 최대의 섬이자 미네랄 가득한 고품질 와인 생산지로 유명한 시칠리아의 동남쪽에 위치한 발 디 노토(Val di Noto) 지역의 이스피카(Ispica)에 자리잡고 있습니다.
한스 헤르조그Hans Herzog,한스 헤르조그(Hans Herzog)는 50년 이상 와인을 제조해 온 와인메이커로 뉴질랜드 말보로에서 유기농 포도를 재배하며 양조를 하고 있다.
필립 드쉘Philippe Dechelle,"필립 드쉘(Philippe Dechelle)은1902년, Vallée de la Marne Aisne에 설립된 양조장은 3대에 걸쳐 포도 경작과 샴페인 양조를 이어온 가족 경영 와이너리이다."
플로헝 베즈호노-마리옹Florent Bergeronneau-Marion,"플로헝 베즈호노-마리옹 (Florent Bergeronneau-Marion)은 상파뉴의 주요 산지 몽타뉴 드 랭스 (Montagne de Reims) 빌 도망쥬 (Ville Dommange)에 위치하고 있다. 빌 도망쥬 마을은 8세기 프랑스왕 루이 1세가 영주였던 곳으로 “Villa Dominica”(the farm belonging to a lord, 영주의 농장)이라 불리며, 오랜 역사를 자랑, 수호 성인인 “Saint Lie”를 헌정한 예배당으로도 유명하다."
샤또 마르소Chateau Marsau,"샤또 마르소(Chateau Marsau)는 와인평론가 로버트 파커가 '꼬뜨 드 프랑의 페트뤼스'라고 극찬한 와인으로, 보르도의 우안 지역인 생-떼밀리옹의 동쪽 고즈넉한 시골 마을 프랑-꼬뜨 드 보르도에 위치한 부티크 샤또이다."
보데가스 타론Bodegas Taron,
조애네스 비올로 기마흐Joannes Violot Guillemard,조애네스 비올로 기마흐(Joannes Violot Guillemard)는 1880년 Pommard (뽀마르) 지역에서 설립되어 6세대에 걸쳐온 유서 깊은 가문이다.
보데가스 로다Bodegas Roda,"보데가스 로다(Bodegas Roda)는 <죽기 전에 꼭 마셔봐야 할 와인 1001> 도서에 소개된 와인 '시르시온'을 생산하는 스페인 리오하 최고의 보데가스 이자, 모던 리오하 와인의 최선봉에 있는 와이너리이다."
보데가스 라 오라Bodegas La Horra,
메튜 브루노Mathew Bruno,메튜 브루노(Mathew Bruno)는 50년이 넘는 세월동안 이탈리아에서 포도를 재배하고 양조를 하던 할아버지와 증조할아버지로부터 자연스럽게 그의 유러피안 라이프스타일의 영향을 받아왔다. 2009년 Rutherford에서 가장 좋은 밭을 골라 생산된 첫 빈티지 Mathew Bruno Cabernet Sauvignon은 출시하자마자 솔드아웃 되었다.
샴페인 가데Champagne Gardet,샴페인 가데(Champagne Gardet)는 프랑스 상파뉴 지역의 시니-레-로즈(Chigny-les-Roses) 에 위치한 유서 깊은 샴페인 하우스이다.
블랭크 캔버스Blank Canvas,블랭크 캔버스(Blank Canvas)는 1992년 부터 말보로(Malborough) 지역에서 양조를 시작하였다. 2008년 IWC에서 선정한 올해의 화이트 와인메이커로 선정된 맷 톰슨(Matt Thomson)과 변호사이면서 2021년 지역 최초의 MW로 선정된 소피 톰슨(Sophie Parker Thomson)이 의기투합하여 설립한 와이너리이다.
세인트 마거릿 앙 프로방스Sainte Marguerite en Provence,
샴페인 공데 루쏘Champagne Gondé-Rousseaux,
샤또 마조세Chateau Marjosse,샤또 마조세(Chateau Marjosse)는 샤또 슈발 블랑의 디렉터이자 샤토 디켐의 CEO인 피에르 루통(Pierre Lurton) 이 보르도 AOC 포도를 사용하여 양조하는 와이너리다. 루통 (Lurton)家에서는 1650년부터 와인을 양조한 이후 지금까지 이어지고 있다.
크로와 에스테이트Croix Estate,
오하우 와인즈Ohau Wines,오하우 와인즈 (Ohau Wines)는 뉴질랜드 오하우 지역의 선구적인 포도재배자다. 뉴질랜드 북부 수도인 Wellington에서 멀지 않은 곳에 오하우 포도밭이 있다. 그 곳은 매력적이고 강렬한 과실 향을 가지고 있는 와인을 생산하는 젊은 포도밭이다.
샴페인 들라븐 페레 앤 피스Champagne Delavenne Pere & Fils,"샴페인 들라븐 페레 앤 피스(Champagne Delavenne Pere & Fils)는 샹파뉴에서 유일하게 부지 그랑 크뤼를 소유하고 있으며, 뿐만 아니라 크라망, 앙보네 그랑 크뤼에서 포도를 생산합니다."
테누타 라라메Tenuta Larame,
옐랜즈 [에랜즈]Yealands,"옐랜즈 (Yealands)는 2008년 피터 옐랜즈 (Peter Yealands)에 의해 설립된 뉴질랜드 3번째로 큰 규모의 와이너리이다. 연간 총 생산량이 14,000 톤 정도 된다. 축복 받은 소비뇽 블랑과 피노 누아의 산지인 뉴질랜드 말보로, 센트럴 오타고 에 위치하고 있다."
상그리아 리퍼블릭Sangria Republic,
카사 비니코라 코스탄자 S.R.LCasa Vinicola Costanza S.R.L,
스킴스톤Skimstone,스킴스톤(Skimstone)은 호주 뉴사우스웨일스(New South Wales) 주의 매지(Long Point) 지역에 위치한 부티크 와이너리이다.
카스타Kasta,
에스카프먼트Escarpment,"에스카프먼트(Escarpment)는 뉴질랜드 마틴보로에서도 가장 깊고 가파른 경사에 위치하고 있습니다. 에스카프먼트는 마틴보로에서 약 35년 간 피노누아, 샤도네이, 피노블랑, 피노그리의 표현력과 복합성을 발전시켜 온 베테랑으로, 토양과 양조에 대한 연구가 활발합니다. 부르고뉴처럼 싱글 빈야드를 따로 관리하고, 고품질의 와인을 다수 생산하고 있습니다."
킹스 오브 프로히비션Kings of Prohibition,
칸티네 피나Cantine Fina,"칸티네 피나(Cantine Fina)의 오너 브루노 피나(Bruno Fina)는 시칠리아 주립 와인연구소의 수석 와인메이커로 20년 넘게 활약하였습니다. 2005년 Fina는 자신의 와이너리를 세우고 토스카나 유명 와이너리에 와인 원액을 공급함과 동시에, 직접 병입 와인을 생산하면서 시칠리아의 최고급 생산자로 전세계에 인지도를 더해가고 있습니다."
아리아나 오끼핀티Arianna Occhipinti,
델테토Deltetto,"델테토(Deltetto)는 오늘날 원산지 지정 보호를 받는 알타랑가 와인을 가장 잘 표현하는 것으로 인정 받는 와이너리입니다. 19세기 말 첫 병이 생산되고, 1953년 Roero의 중심부에서 와이너리를 만들며 시작되었습니다. 자연에 대한 존중과 책임감 있는 방식의 농업을 고수해오던 선대의 가르침이 지금까지 이어지며, 2017년 오가닉 인증을 받았습니다."
토 칼론 빈야드 컴퍼니To Kalon Vineyard Co,토 칼론 빈야드 컴퍼니(To Kalon Vineyard Co)는 나파 밸리의 중심부에 위치한 H.W. Crabb가 1860년대에 거대한 포도나무 제국을 심은 것에서 부터 시작한다.
도멘 가르니에르 앤 피스Domaine Garnier & Fils,도멘 가르니에르 앤 피스(Domaine Garnier & Fils)는 1970년 조셉 가르니에르(Joseph Garnier)가 곡물을 재배하기 위해 구매했던 110 헥타르를 1985년 아들 제롬(Jerome)과 자비에(Xavier)가 물려받으면서 도멘의 역사가 시작됩니다.
도멘 조엘 브리뇨Domaine Joëlle Vrignaud,도멘 조엘 브리뇨(Domaine Joëlle Vrignaud)는 샤블리에 정착 후 1955년부터 샤블리 프리미에 크뤼 '포숌'을 중심으로 5대에 걸쳐 약 20년간 자연과 생물 다양성을 존중하며 포도나무를 재배해왔습니다.
도멘 필립 & 뱅상 자불레Domaine Philippe & Vincent Jaboulet,
바벤코프Bavencoff,"바벤코프(Bavencoff)는 전통을 매우 중시하게 생각하는 양조학자, 이반 바벤코프(Yvan Bavencoff)에 의해 1947년 설립되었습니다."
샴페인 뵈브 두쏘Champagne Veuve Doussot,샴페인 뵈브 두쏘(Champagne Veuve Doussot)는 1746년부터 수세기 동안 가족 대대로 꼬뜨 데 바(Côte des Bars) 중심부에서 포도 재배해왔으며 1970년대 초 조르쥬 졸리(Georges Joly)와 그의 아들들이 설립한 샴페인 하우스입니다.
듀런트 앤 부스Durant & Booth,듀런트 앤 부스(Durant & Booth)는 1897년 오크빌의 심볼과 같은 가게를 인수한 프레더릭 듀런트(Frederick Durant)와 부스(Booth)형제가 그들의 이름을 따서 듀런트&부스(Durant& Booth)라고 건물 이름을 짓게 되면서 시작된다.
웰라켄즈 에스테이트Willakenzie Estate,
그레이모어Graymore,그레이모어(Graymore)의 이름과 라벨은 이 지역의 독특한 테루아에 가장 크게 영향을 주는 요소를 담고 있다. 에드나 밸리(Edna Valley)의 특징인 밝은 회색 해안 안개와 어두운 회색 줄무늬를 가진 흙에서 이 곳 와인의 독특한 특성이 만들어 진다.
스파이스랙Spicerack,
이 그레삐I Greppi,
라 키우바La Kiuva,
도멘 베레Domaine Verret,"도멘 베레(Domaine Verret)는 1750년부터 Yonne에서 포도를 재배하던 Verret 가문으로부터 시작된다. 1940년대부터 와이너리를 정식으로 일구기 시작, 1956년 첫 빈티지가 담겼다. 공식적으로 가문의 이름을 내세우며 와이너리를 확장시킨 때는 1995년, 가문의 5세대인 Bruno Verret에 의해서였다."
샴부Champbeaux,"샴부(Champbeaux)는 프랑스 남부의 와이너리로, 'Champ'은 빈야드를, 'Beau'는 아름다움을 뜻하는 말로, 광활하게 펼쳐져 있는 아름다운 포도밭에서 자라난 좋은 품질의 와인을 뜻하는 이름이다. 랑그독의 돌이 많은 척박한 토양에서 생산되어 더욱 복합적이고 풍부한 풍미를 자랑한다."
샤또 물랑 드 레스페랑스Chateau Moulin de I'Esperance,"샤또 물랑 드 레스페랑스(Chateau Moulin de I'Esperance)는 1845년에 Brandenburg 경의 공로로 와인이 처음 생산되었다. 주로 멜롯과 까베르네 소비뇽을 블렌딩하여 와인을 생산하는 이 지역에서, 샤또 물랑은 밸런스가 잘 잡혀져 있는 와인을 생산하며 보르도 슈페리에 등급을 취득하였다."
더 패스 와이너리The Pass Winery,"더 패스 (The Pass) 와이너리는 뉴질랜드의 대표 와인 산지인 말보로에서도 고품질 포도를 생산하는 와이라우와 아와테레 밸리 사이에 위치한 와이너리다. 서늘하고 건조한 기후를 가진 와이라우 밸리와 좀 더 낮은 기온과 바람이 많이 부는 아와테레 밸리의 포도를 함께 사용하여 만든 와인으로, 생동감 넘치고 과실의 풍미가 뛰어난 전형적인 뉴질랜드 소비뇽 블랑의 특징을 보여준다."
