와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,숙성,양조
"조르주 노엘라, 부르고뉴 피노 누아","Georges Noellat, Bourgogne Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168421&lq=LIST,조르주 노엘라  Georges Noellat,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir),Burgundy Red,Bourgogne AOC(AOP),13~14 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",*2017 빈티지: Burghound 86-88점,롯데칠성음료 / 크리스탈와인,1/5,3/5,2/5,2/5,"블랙베리, 체리, 블루베리, 라스베리, 꽃","로스트비프, 닭고기, 오리로스, 연어, 참치, 파스타, 피자, 버섯, 치즈",,
"스톤헤지, 메리티지 리저브 No.815","Stonehedge, Meritage Reserve No.815",https://www.wine21.com/13_search/wine_view.html?Idx=168422&lq=LIST,스톤헤지 와이너리  Stonehedge Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 말벡 (Malbec),,Napa Valley AVA,14~15 %,16~18 ℃,"치즈, 스테이크 등과 잘 어울린다.",,,1/5,3/5,5/5,5/5,자두,"스테이크, 치즈",,
"헤븐스 와이너리, H 럭셔리 콜렉션 까베르네 소비뇽","Havens Winery, H Luxury Collection Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168423&lq=LIST,헤븐스 와이너리  Havens Winery,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 시라  (Petite Sirah),,,14~15 %,16~18 ℃,"치즈, 스테이크 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,"블랙베리, 바닐라","스테이크, 치즈",,
"아르망 조푸와, 즈브레 샹베르땅 1er 라 보씨에르","Harmand Geoffroy, Gevrey-Chambertin 1er La Bossière",https://www.wine21.com/13_search/wine_view.html?Idx=168424&lq=LIST,아르망 조푸와  Harmand Geoffroy,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),,"Gevrey-Chambertin 1er Cru AOC(AOP), 'La Bossière'",,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2017 빈티지: Burghound 86-89점, Robert Parker 91점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
"아르망 조푸와, 즈브레 샹베르땅","Harmand Geoffroy, Gevrey-Chambertin",https://www.wine21.com/13_search/wine_view.html?Idx=168425&lq=LIST,아르망 조푸와  Harmand Geoffroy,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),,Gevrey-Chambertin AOC(AOP),,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2017 빈티지: Burghound 87-89점, Robert Parker 86점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
제프 까렐 아뷔드네,A Vue de Nez by Jeff Carrel,https://www.wine21.com/13_search/wine_view.html?Idx=168426&lq=LIST,제프 까렐  Jeff Carrel,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),카베르네 프랑 (Cabernet Franc) / 시라/쉬라즈 (Syrah/Shiraz),,,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",*Robert Parker 90점*Academie des Vins et de la Gastronome Francaise 2019: 금메달,,1/5,4/5,3/5,3/5,허브,"스테이크, 양갈비",,
샴페인 꽁 드 라모뜨 브뤼,Champagne Comte de Lamotte Brut,https://www.wine21.com/13_search/wine_view.html?Idx=168427&lq=LIST,G.H. 마르텔  G.H. Martel,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 55% / 피노 뮈니에 (Pinot Meunier) 25% / 샤르도네 (Chardonnay) 20%,,Champagne AOC(AOP),12~12.5 %,8~10 ℃,"핑거푸드, 가벼운 스낵에서부터 정찬의 식전주까지 폭넓은 페어링을 보이며, 샐러드, 해산물, 버터를 바른 바게트빵, 피자 그리고 기름진 육류와도 잘 어울린다.",,나라셀라,1/5,4/5,3/5,1/5,"복숭아, 감귤","해산물, 피자, 식전주, 샐러드",,
"와레즈, 헤리티지 루비 포트","Warre's, Heritage Ruby Port",https://www.wine21.com/13_search/wine_view.html?Idx=168428&lq=LIST,와레즈  Warre's,포르투갈(Portugal) / 도우루(Douro),포트 블렌드 (Port Blend),,,,13~15 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",,국순당,5/5,2/5,5/5,2/5,"체리, 자두, 오크",,,
"와레즈, 오티마 10년 숙성 포트","Warre's, Otima 10 Year old Port",https://www.wine21.com/13_search/wine_view.html?Idx=168429&lq=LIST,와레즈  Warre's,포르투갈(Portugal) / 도우루(Douro),포트 블렌드 (Port Blend),,,,10~12 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",,국순당,5/5,2/5,5/5,2/5,배,,10년간 600리터 오크통 숙성,
"와레즈, 오티마 20년 숙성 포트","Warre's, Otima 20 Year old Port",https://www.wine21.com/13_search/wine_view.html?Idx=168430&lq=LIST,와레즈  Warre's,포르투갈(Portugal) / 도우루(Douro),포트 블렌드 (Port Blend),,,,10~12 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",*Wine Spectator 93점,국순당,5/5,2/5,5/5,2/5,"배, 생강, 아몬드, 오크",,,
